Facility_ID,Facility_Name,Country,City,Industry,Fiscal_Year,Employee_Count,Scope1_Emissions,Scope2_Emissions,Scope3_Emissions,Total_Energy_MWh,Renewable_Energy_Percentage,Water_Withdrawal_m3,Water_Recycled_Percentage,Waste_Generated_Tons,Waste_Recycled_Percentage,Female_Workforce_Percentage,Employee_Turnover_Percentage,Training_Hours,Compliance_Violations
FAC001,Pune Automotive Plant 1,India,Pune,Automotive,2022,277,517.7,617.4,3817.8,2294.6,18,5233,19.7,80.2,40.6,36.1,15,42.2,2
FAC001,Pune Automotive Plant 1,India,Pune,Automotive,2023,300,976,235.3,4862.8,2425.7,46.5,6306.9,38.3,108.6,89.3,28.1,7,22.4,2
FAC001,Pune Automotive Plant 1,India,Pune,Automotive,2024,330,877.2,399.7,5498,2786.1,30,2890.9,38.9,302.1,85.5,28.8,8.1,29.1,0
FAC001,Pune Automotive Plant 1,India,Pune,Automotive,2025,295,1755.1,238.4,6246.7,4212.7,77.9,6996,36.5,175.7,74.8,39.1,15.4,37.2,0
FAC002,Chennai Electronics Plant 2,India,Chennai,Electronics,2022,868,2929.1,1078.7,14875.1,8136.3,54.5,20735.2,58.4,388.9,27.2,27.5,10.3,19.5,3
FAC002,Chennai Electronics Plant 2,India,Chennai,Electronics,2023,865,2922.6,1231.2,9791.3,6939.3,42.5,8619.4,57.8,701.2,76.3,30.9,14.8,34.3,4
FAC002,Chennai Electronics Plant 2,India,Chennai,Electronics,2024,859,1896.9,1224.5,11139.1,8956.9,32.3,19656.6,44.6,218.5,56.8,47.9,13.5,69.7,2
FAC002,Chennai Electronics Plant 2,India,Chennai,Electronics,2025,860,4278.1,1958.5,24456.8,10156.9,41.6,11984.5,41.7,313.9,40.2,39.7,16,77.7,1
FAC003,Pune Automotive Plant 3,India,Pune,Automotive,2022,1426,6257,3753.5,39507.1,16017.8,18.6,25241.6,18,797.5,26.3,45.9,20.1,47.4,0
FAC003,Pune Automotive Plant 3,India,Pune,Automotive,2023,1397,2532.3,2050.3,18514,11526.7,45.5,37110,47.6,457,70.9,46.4,8.1,41.7,1
FAC003,Pune Automotive Plant 3,India,Pune,Automotive,2024,1445,7440.4,2352.1,29352.8,19976,63.5,29621.6,42.4,1781,60.7,25.4,6,26.9,0
FAC003,Pune Automotive Plant 3,India,Pune,Automotive,2025,1521,4399,1679.6,25916.4,12295.4,39.5,36839.8,32.8,697.3,74.8,24.4,6.6,76.1,0
FAC004,Bengaluru Industrial Plant 4,India,Bengaluru,Industrial Equipment,2022,1195,3440.8,3259.8,20496.8,15344.7,20.2,19654.3,55.9,1156.6,90.9,21,12.4,25.3,3
FAC004,Bengaluru Industrial Plant 4,India,Bengaluru,Industrial Equipment,2023,1189,2194.4,1130.9,10496.5,9335.9,44.1,29148.1,25.6,1338.1,83.1,20.9,15.9,42.3,0
FAC004,Bengaluru Industrial Plant 4,India,Bengaluru,Industrial Equipment,2024,1193,3978.2,1464.9,13794.8,16467.7,67.9,18062.7,28.6,743.7,91.2,26,17.5,46.5,0
FAC004,Bengaluru Industrial Plant 4,India,Bengaluru,Industrial Equipment,2025,1276,3682.3,1337.1,10772.7,14879.6,59.8,27775.5,32.4,697.9,42.6,32.3,19.2,57.9,0
FAC005,Pune Automotive Plant 5,India,Pune,Automotive,2022,909,2615.9,1216.5,16194.6,10107.9,41,10976.2,48.9,822.4,53.1,35.5,14.4,52.1,0
FAC005,Pune Automotive Plant 5,India,Pune,Automotive,2023,959,2905,1178.7,11395.3,7895.8,37.8,21181.4,25.5,686.8,91.9,47.9,6.7,27.6,0
FAC005,Pune Automotive Plant 5,India,Pune,Automotive,2024,982,3857.5,856.8,19254.9,13193.2,69.3,20749.7,52.9,1311,72.3,18.2,18.1,39.5,0
